id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1152099499248107522,Fri Jul 19 06:15:00 +0000 2019,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","RT @mkurleto: 6 #AI priorities for #CSuite to drive competitive advantage. 

#PwC via @MikeQuindazzi @cloudpreacher 
#MachineLearning #Deep…",RT mkurleto 6 AI priorities CSuite drive competitive advantage PwC via MikeQuindazzi cloudpreacher MachineLearning Deep…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,6,alcgroup,,"AI, CSuite, PwC, MachineLearning","mkurleto, MikeQuindazzi, cloudpreacher","Brisbane, Queensland",
1152099472794689536,Fri Jul 19 06:14:53 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SweetbutKanana: What's wrong with FaceApp? https://t.co/H0Y4QAHvle #Marketing #marketingtips #DigitalMarketing #DigitalTransformation #…,RT SweetbutKanana What 's wrong FaceApp https //t.co/H0Y4QAHvle Marketing marketingtips DigitalMarketing DigitalTransformation …,"Sentiment(polarity=-0.5, subjectivity=0.9)",-0.5,0.9,en,0,2,LeonceMulenda,False,"Marketing, marketingtips, DigitalMarketing, DigitalTransformation",SweetbutKanana,"Dar es Salaam, Tanzania",
1152099428968173568,Fri Jul 19 06:14:43 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","s Prepaid Energy Meter a solution to India’s Electricity Woes? Read more..https://t.co/CoPDRUYvFv
@ElMeasureIndia… https://t.co/RQN4DvQ8kB",Prepaid Energy Meter solution India ’ Electricity Woes Read more..https //t.co/CoPDRUYvFv ElMeasureIndia… https //t.co/RQN4DvQ8kB,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,themachinemaker,False,,ElMeasureIndia,India,
1152099419774263296,Fri Jul 19 06:14:41 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @RoundSqr: Why the path to #DigitalTransformation starts with your data strategy. https://t.co/Xf2Npz8QYb #DataAnalytics #BigData #AI,RT RoundSqr Why path DigitalTransformation starts data strategy https //t.co/Xf2Npz8QYb DataAnalytics BigData AI,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,chidambara09,False,"DigitalTransformation, DataAnalytics, BigData, AI",RoundSqr,Mysore  and  BERLIN ,
1152099415605358592,Fri Jul 19 06:14:40 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DukeCE: These 6 things will make or break an organization’s #digitaltransformation efforts, says Radhika Palany. https://t.co/r7n4cGBF3x",RT DukeCE These 6 things make break organization ’ digitaltransformation efforts says Radhika Palany https //t.co/r7n4cGBF3x,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,DukeKunshan,False,digitaltransformation,DukeCE,"Kunshan, Jiangsu, China",
1152099370269073409,Fri Jul 19 06:14:29 +0000 2019,"<a href=""https://www.socialreport.com"" rel=""nofollow"">SocialReport.com</a>",Moving from EGO-System to Eco-System [Customer Experience] https://t.co/Ur87vseZsl #customerexperience #CX #B2B… https://t.co/HgZpDVwjio,Moving EGO-System Eco-System Customer Experience https //t.co/Ur87vseZsl customerexperience CX B2B… https //t.co/HgZpDVwjio,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,eMSdigital,False,"customerexperience, CX, B2B",,"Gauteng, South Africa",
1152099326690304000,Fri Jul 19 06:14:19 +0000 2019,"<a href=""http://www.pivotcloudsolutions.com"" rel=""nofollow"">PCStwitterApp</a>",RT @HelloBSquared: The Top 10 #DigitalTransformation #Trends via @Forbes #digitalmarketing https://t.co/VlnFmbyMAm,RT HelloBSquared The Top 10 DigitalTransformation Trends via Forbes digitalmarketing https //t.co/VlnFmbyMAm,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,1,pivotcloud,False,"DigitalTransformation, Trends, digitalmarketing","HelloBSquared, Forbes",Ireland,
1152099278514339840,Fri Jul 19 06:14:07 +0000 2019,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Silos are a key barrier to digital transformation, say Malaysia's C-suite - Human Resources Online… https://t.co/iGN2lWd4k8",Silos key barrier digital transformation say Malaysia 's C-suite Human Resources Online… https //t.co/iGN2lWd4k8,"Sentiment(polarity=0.0, subjectivity=0.3666666666666667)",0.0,0.3666666666666667,en,0,1,milocamj,False,,,"Cleveland, OH",
1152099207303585792,Fri Jul 19 06:13:50 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PaoliCGPI: 📌The state of 🚘 #CyberSecurity &amp; Current Vulnerabilities in 📡 #connected #vehicles‼
🔎Found v/@IIoT_World 
✒Written by @simon…",RT PaoliCGPI 📌The state 🚘 CyberSecurity amp Current Vulnerabilities 📡 connected vehicles‼ 🔎Found v/ IIoT_World ✒Written simon…,"Sentiment(polarity=0.0, subjectivity=0.4)",0.0,0.4,en,0,7,JBaPOGGI,,"CyberSecurity, connected, vehicles","PaoliCGPI, IIoT_World","Corse, France",
1152099127272050688,Fri Jul 19 06:13:31 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @TamaraMcCleary: Bill Gates says that #AI will change software in ways we haven’t even begun to see https://t.co/9OCa3DPmet via @FastCom…,RT TamaraMcCleary Bill Gates says AI change software ways ’ even begun see https //t.co/9OCa3DPmet via FastCom…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,neozero497,False,AI,TamaraMcCleary,USA,
